Source,Destination,St Line Dist
Agartala,Bengaluru,1881.38
Aizawl,Bengaluru,1992.76
Amaravati,Bengaluru,498.01
Bengaluru,Bengaluru,0
Bhopal,Bengaluru,1142.69
Bhubaneswar,Bengaluru,1196.18
Chandigarh,Bengaluru,1976.13
Chennai,Bengaluru,284.74
Dehradun,Bengaluru,1928.64
Delhi,Bengaluru,1741.22
Dispur,Bengaluru,2084.85
Gandhinagar,Bengaluru,1252.37
Gangtok,Bengaluru,1965.92
Hyderabad,Bengaluru,497.05
Imphal,Bengaluru,2162.48
Itanagar,Bengaluru,2292.67
Jaipur,Bengaluru,1561.59
Kohima,Bengaluru,2231.96
Kolkata,Bengaluru,1561.76
Lucknow,Bengaluru,1581.77
Meghalaya,Bengaluru,1247.02
Mumbai,Bengaluru,837.83
Panaji,Bengaluru,491.19
Patna,Bengaluru,1612.1
Raipur,Bengaluru,1015.75
Ranchi,Bengaluru,1415.42
Shillong,Bengaluru,2050.43
Shimla,Bengaluru,2015.32
Srinagar,Bengaluru,1921.61
Thiruvananthapuram,Bengaluru,493.73
